rmse,mae,directional_accuracy,rank_ic,rmse_vs_naive_zero,n,model,fold
0.012835215725990952,0.00989686228350877,0.0,,1.0,1967,naive_zero,0
0.01796131620281773,0.013899068091086647,0.5160142348754448,0.02926540782499864,1.399377820074077,1967,naive_drift,0
0.012810417643312345,0.009866797445858609,0.530757498729029,0.08201434441679266,0.9980679652599534,1967,ridge,0
0.013436198752792318,0.010317835668416393,0.4992374173868836,0.00027985613199636543,1.0468229782522775,1967,gbm,0
0.012921635875132021,0.009968207771372353,0.5021810250817884,0.018292140459019036,1.0046355113933596,1834,lstm,0
0.01310397907942171,0.01011075113807877,0.0,,1.0,1967,naive_zero,1
0.017965801132793106,0.013882775923655319,0.5185561769191662,0.057040271557088254,1.3710187587987168,1967,naive_drift,1
0.013103406198912515,0.010125242483793588,0.5109303507880021,0.032031140798840244,0.999956281942628,1967,ridge,1
0.01348886543366154,0.010469906078033912,0.485510930350788,-0.022881568534215038,1.0293717161716358,1967,gbm,1
0.012968820042978247,0.010045844498162952,0.5070883315158125,0.0019326500384590267,1.0002500309048117,1834,lstm,1
0.012675642532070281,0.009664089980573354,0.0,,1.0,1967,naive_zero,2
0.017805837864432,0.013579032224550243,0.5099135739705135,0.0019591490241794617,1.4047286217942765,1967,naive_drift,2
0.012696484195750665,0.0096692599645326,0.5124555160142349,-0.011436353544119865,1.001644229365703,1967,ridge,2
0.012917962229200703,0.009801409611084347,0.5104219623792577,0.009806019352565476,1.0191169557296473,1967,gbm,2
0.012729967081956874,0.009711364502271178,0.49345692475463465,-0.009858323436408946,1.0023858019962193,1834,lstm,2
0.012877303290605302,0.01013785123708112,0.0,,1.0,1967,naive_zero,3
0.01819980538840112,0.014091482669245725,0.5078800203355364,0.009166842623658578,1.413324278979969,1967,naive_drift,3
0.01285915565161166,0.010107725753118435,0.5236400610066091,0.02853426127031811,0.998590726755121,1967,ridge,3
0.012931755127607664,0.010186958202415691,0.5251652262328419,0.039375209213693814,1.0042285124279156,1967,gbm,3
0.012833537541586447,0.010081524574653411,0.5218102508178845,0.03554668014658837,0.9986527562502966,1834,lstm,3
0.012861175216064653,0.010020865599976734,0.0,,1.0,1967,naive_zero,4
0.018479757272364526,0.014429623217827954,0.4722928317234367,-0.0524700754015077,1.4368638139135068,1967,naive_drift,4
0.012900640870807584,0.010057845660907422,0.49211997966446364,-0.08042500150833795,1.0030685885294242,1967,ridge,4
0.012913603306617031,0.010073496374040902,0.46009150991357395,-0.05819870938671031,1.00407646188405,1967,gbm,4
0.012937421802771014,0.010087169443574687,0.4732824427480916,-0.032303781991760365,1.0049196798204882,1834,lstm,4
