model,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,avg_daily_turnover,hit_rate,n_days,gross_sharpe
naive_zero,-0.057286063246042906,-0.010525062494648907,0.09284496078935905,-0.06755193139047466,-0.10827325802455205,-0.23095810549267226,0.0007117437722419929,0.5195729537366548,1405,-0.06465113855753443
lstm,-0.7582362955573975,-0.23899912089284703,0.09615156457759992,-2.790917702603722,-4.511371267100328,-0.764718986821775,0.7061068702290076,0.4122137404580153,1310,-0.015071126218179536
ridge,-0.8767996641473015,-0.313101343878162,0.0950132668628493,-3.902309374381691,-5.982250305251537,-0.8779916110107819,0.9850533807829182,0.40427046263345195,1405,0.01681864657001406
gbm,-0.9274525186120144,-0.3753426253084463,0.09910838058348105,-4.693833955435435,-7.404022711335539,-0.9280344299580938,1.208896797153025,0.37508896797153024,1405,-0.08341419493456224
naive_drift,-0.9354385249507045,-0.38827319010912376,0.0983677872537357,-4.942125790822051,-7.5397795633444575,-0.9365905782041776,1.4110320284697508,0.37651245551601425,1405,0.4833697077613368
